InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
409,12,2,16,790,815,7,803,8,803,0
410,12,2,16,324,346,7,324,8,324,0
411,20,2,16,2215,2216,11,2215,13,2215,0
412,23,2,16,2266,2271,12,2266,16,2266,0
413,14,2,16,411,412,9,411,10,411,0
414,14,2,16,3056,3297,8,3056,10,3056,0
415,16,2,16,2344,2370,9,2344,11,2344,0
416,16,2,16,1270,1346,9,1271,12,1271,0
417,13,2,16,2289,2310,8,2289,9,2289,0
418,7,2,16,76,97,5,76,5,76,0
419,10,2,16,1020,1020,27,1020,7,1020,0
420,19,2,16,1523,1586,10,1523,13,1523,0
421,20,2,20,13983,14539,11,13991,13,13991,0
422,15,2,20,357,367,8,357,10,357,0
423,18,2,20,8136,8248,10,8136,13,8136,0
424,26,2,20,28762,28765,14,28764,19,28764,0
425,24,2,20,27616,32481,13,27616,16,27616,0
426,20,2,20,39150,39392,11,39158,14,39158,0
427,26,2,20,16230,17620,14,16230,17,16230,0
428,29,2,20,20103,21482,15,20103,20,20103,0
429,21,2,20,6623,9180,11,6623,14,6623,0
430,24,2,20,25189,29299,13,25189,17,25189,0
431,16,2,20,8397,11274,9,8397,11,8397,0
432,14,2,20,10960,12059,9,10962,10,10962,0
433,20,2,20,4934,5237,11,4934,14,4934,0
434,22,2,20,46403,56471,12,46504,16,46504,0
435,29,2,20,42121,51161,14,42122,19,42122,0
436,16,2,20,42869,43373,9,43297,11,43297,0
437,22,2,20,15206,15363,12,15206,15,15206,0
438,16,2,20,45067,47511,10,45069,11,45069,0
439,28,2,20,49201,49328,15,49256,20,49256,0
440,26,2,20,49805,54040,14,49807,18,49807,0
441,25,2,20,1592,1701,13,1592,17,1592,0
442,21,2,20,11689,12141,11,11689,14,11689,0
443,25,2,20,21008,21010,14,21008,17,21008,0
444,20,2,20,42877,44947,11,42878,14,42878,0
445,27,2,20,15433,15639,15,15433,18,15433,0
446,27,2,20,46154,46156,14,46154,19,46154,0
447,17,2,20,9202,9436,10,9202,12,9202,0
448,26,2,20,33003,33006,14,33003,17,33003,0
449,29,2,20,30719,34117,15,30720,19,30720,0
450,23,2,20,13240,15940,12,13240,16,13240,0
451,15,3,8,25,28,23,25,15,25,0
452,6,3,8,21,29,6,21,6,21,0
453,12,3,8,22,28,10,22,10,22,0
454,10,3,8,23,27,8,24,9,24,0
455,12,3,8,24,29,9,24,11,24,0
456,10,3,8,25,30,8,25,9,25,0
457,12,3,8,27,29,9,27,10,27,0
458,11,3,8,22,26,8,22,9,22,0
459,12,3,8,30,34,10,30,11,30,0
460,14,3,8,21,23,10,21,12,21,0
461,9,3,8,23,32,7,23,8,23,0
462,14,3,8,27,33,10,27,12,27,0
463,12,3,8,20,26,10,20,10,20,0
464,15,3,8,21,22,11,21,13,21,0
465,11,3,8,24,34,8,24,9,24,0
466,10,3,8,20,20,8,20,8,20,0
467,11,3,8,22,35,8,22,9,22,0
468,15,3,8,30,31,11,30,12,30,0
469,9,3,8,20,28,7,20,8,20,0
470,12,3,8,26,31,9,26,10,26,0
471,8,3,8,22,32,6,22,7,22,0
472,5,3,8,29,30,5,29,5,29,0
473,8,3,8,21,26,6,21,7,21,0
474,7,3,8,27,33,6,27,6,27,0
475,8,3,8,23,29,6,23,8,23,0
476,9,3,8,21,22,7,21,8,21,0
477,9,3,8,24,25,7,24,8,24,0
478,7,3,8,20,28,6,20,6,20,0
479,11,3,8,25,33,8,25,9,25,0
480,10,3,8,22,23,8,22,8,22,0
481,23,3,16,537,574,15,537,18,537,0
482,38,3,16,1878,1959,24,1878,30,1878,0
483,17,3,16,2012,2118,12,2018,14,2018,0
484,18,3,16,148,181,56,148,14,148,0
485,25,3,16,1514,1781,17,1514,19,1514,0
486,23,3,16,728,771,15,728,18,728,0
487,27,3,16,1551,1655,17,1551,22,1551,0
488,30,3,16,1542,1724,20,1542,23,1542,0
489,26,3,16,831,939,17,831,20,831,0
490,18,3,16,2180,3193,12,2180,14,2180,0
491,22,3,16,212,336,14,212,18,212,0
492,21,3,16,40,41,14,40,16,40,0
493,25,3,16,521,528,16,521,20,521,0
494,24,3,16,2017,2258,16,2017,143,2017,0
495,24,3,16,1158,1766,16,1158,18,1158,0
496,27,3,16,1787,2066,18,1787,23,1787,0
497,29,3,16,467,470,18,467,23,467,0
498,31,3,16,1199,1745,20,1199,23,1199,0
499,26,3,16,2020,2059,17,2020,20,2020,0
500,23,3,16,1058,1113,15,1058,19,1058,0
501,26,3,16,1492,1581,17,1492,20,1492,0
502,28,3,16,1795,1950,17,1795,21,1795,0
503,15,3,16,237,289,11,237,12,237,0
504,20,3,16,655,769,14,656,17,656,0
505,21,3,16,1257,1260,14,1257,17,1257,0
506,23,3,16,1559,2059,49,1560,18,1560,0
507,23,3,16,1013,1274,15,1013,17,1013,0
508,15,3,16,458,519,11,458,12,458,0
509,19,3,16,237,346,13,238,16,238,0
510,13,3,16,20,24,10,20,11,20,0
511,21,3,20,8003,8475,14,8185,17,8185,0
512,30,3,20,13150,13409,20,13151,23,13151,0
513,31,3,20,29149,29259,20,29149,24,29149,0
514,26,3,20,30936,43515,18,30944,22,30944,0
515,38,3,20,21231,22339,23,21231,29,21231,0
516,23,3,20,34657,53716,15,34657,19,34657,0
517,29,3,20,13617,17669,19,13617,23,13617,0
518,41,3,20,16494,18565,25,16494,32,16494,0
519,31,3,20,8504,11683,20,8504,24,8504,0
520,28,3,20,28721,29481,19,28721,22,28721,0
521,27,3,20,3747,5136,17,3747,22,3747,0
522,33,3,20,23413,24544,20,23563,25,23563,0
523,39,3,20,15427,17052,24,15428,29,15428,0
524,16,3,20,14211,20157,11,14223,13,14223,0
525,33,3,20,27796,32152,20,27867,26,27867,0
526,39,3,20,29105,36141,23,29105,32,29105,0
527,37,3,20,20816,22116,23,20816,29,20816,0
528,35,3,20,30866,32390,22,30866,63,30866,0
529,27,3,20,34390,46102,16,34443,22,34443,0
530,36,3,20,31749,42268,22,31749,28,31749,0
531,30,3,20,6638,8396,19,6638,24,6638,0
532,30,3,20,26816,29351,20,26831,23,26831,0
